ET,V,SA,IA,RL,FX,FY,FZ,MX,MY,MZ,P,N,RE,TSTI,TSTC,TSTO
0.57,40.32,-0.067,-0.036000000000000004,22.054000000000002,-105.8,154.62,-1120.58,-18.86,1.75,20.21,82.73,476.47,22.454,26.8,26.31,23.69
0.58,40.32,-0.057999999999999996,-0.034,22.055,-94.0,157.6,-1106.07,-38.46,-5.55,25.27,82.83,476.26,22.461,26.64,26.35,23.69
0.59,40.32,-0.064,-0.037000000000000005,22.058000000000003,-106.11,154.49,-1081.0,-58.05,-10.04,20.94,82.73,476.06,22.473000000000003,26.64,26.35,23.52
0.6,40.31,-0.057999999999999996,-0.036000000000000004,22.052,-137.23,151.56,-1049.55,-72.42,-12.31,9.1,82.83,475.99,22.468000000000004,26.76,26.39,23.64
0.61,40.31,-0.057999999999999996,-0.037000000000000005,22.074,-178.39,144.75,-1016.93,-78.84,-8.35,-7.25,82.68,475.99,22.468000000000004,26.73,26.3,23.67
0.62,40.3,-0.057999999999999996,-0.037000000000000005,22.064,-224.52,141.67,-990.53,-74.13,-3.34,-24.82,82.83,475.92,22.469,26.76,26.31,23.64
0.63,40.3,-0.069,-0.036000000000000004,22.064,-266.26,137.34,-978.76,-59.96,3.18,-39.49,82.83,475.92,22.464000000000002,26.57,26.31,23.7
0.64,40.3,-0.061,-0.03,22.05,-295.57,134.32,-981.79,-41.97,9.35,-47.65,82.73,475.92,22.464000000000002,26.62,26.35,23.55
0.65,40.3,-0.063,-0.025,22.052,-304.32,131.88,-1001.26,-23.47,15.6,-46.1,82.78,476.06,22.46,26.92,26.31,23.66
0.66,40.3,-0.06,-0.039,22.059,-294.56,136.38,-1039.53,-5.5,17.34,-36.63,82.88,476.19,22.451,26.65,26.48,23.78
0.67,40.3,-0.057,-0.03,22.05,-270.59,139.69,-1076.55,3.61,16.04,-21.65,82.83,476.06,22.46,26.91,26.52,23.79
0.68,40.31,-0.061,-0.02,22.046999999999997,-241.19,146.94,-1102.07,2.62,12.74,-4.3,82.78,475.99,22.468000000000004,27.03,26.47,23.66
0.69,40.3,-0.061,-0.02,22.049,-212.5,149.94,-1114.44,-8.13,6.85,11.98,82.73,475.78,22.475,26.95,26.36,23.64
0.7,40.31,-0.06,-0.034,22.055,-193.19,151.67,-1110.99,-24.63,3.73,22.12,82.83,475.92,22.471999999999998,26.61,26.39,23.72
0.71,40.32,-0.054000000000000006,-0.037000000000000005,22.055,-184.49,151.25,-1092.34,-44.67,3.44,22.97,82.78,476.12,22.467,26.76,26.38,23.66
0.72,40.32,-0.051,-0.033,22.055,-185.21,148.86,-1065.85,-62.21,-0.54,15.89,82.83,476.12,22.467,26.89,26.47,23.82
0.73,40.33,-0.057999999999999996,-0.039,22.061,-199.87,142.62,-1032.88,-74.8,0.29,1.89,82.58,476.26,22.465999999999998,26.7,26.24,23.7
0.74,40.32,-0.067,-0.039,22.061,-225.39,135.9,-1003.41,-77.61,0.34,-15.07,82.73,476.33,22.46,26.88,26.27,23.69
0.75,40.33,-0.06,-0.024,22.053,-254.93,131.33,-981.95,-69.68,2.99,-31.38,82.27,476.47,22.456,26.8,26.22,23.38
0.76,40.32,-0.066,-0.03,22.054000000000002,-284.74,129.84,-975.4,-54.26,6.44,-43.83,82.83,476.47,22.454,26.8,26.35,23.75
0.77,40.32,-0.061,-0.025,22.058000000000003,-301.44,127.5,-987.63,-34.94,12.67,-48.06,82.52,476.47,22.454,26.83,26.39,23.78
0.78,40.32,-0.069,-0.036000000000000004,22.058000000000003,-303.4,130.01,-1013.69,-16.68,18.15,-44.04,82.63,476.47,22.451,26.81,26.41,23.75
0.79,40.32,-0.07200000000000001,-0.036000000000000004,22.054000000000002,-282.46,137.05,-1053.02,-1.1,18.52,-30.97,82.73,476.33,22.46,26.97,26.35,23.69
0.8,40.31,-0.061,-0.027999999999999997,22.055,-250.52,142.39,-1089.6,5.5,18.88,-14.21,83.08,476.19,22.459,27.0,26.52,23.7
0.81,40.31,-0.064,-0.027000000000000003,22.048000000000002,-213.26,147.55,-1108.56,-0.35,14.61,3.08,82.73,476.12,22.462,26.99,26.5,23.76
0.82,40.3,-0.05,-0.033,22.051,-177.92,150.59,-1112.4,-14.23,10.24,17.28,82.73,476.19,22.454,27.0,26.39,23.87
0.83,40.3,-0.057999999999999996,-0.036000000000000004,22.054000000000002,-150.6,150.11,-1102.41,-33.58,5.1,24.54,82.83,476.33,22.444000000000003,26.89,26.53,23.7
