ET,V,N,SA,IA,RL,RE,P,FX,FY,FZ,MX,MZ,NFX,NFY,RST,TSTI,TSTC,TSTO,AMBTMP,SR
438.64,25.06,416.56,-7.28,-0.043,9.748,10.027000000000001,12.09,20.03,564.69,-240.92,-37.24,62.66,-0.08,-2.34,92.73,102.78,137.25,139.41,81.61,-0.027999999999999997
438.65,25.06,416.5,-7.316,-0.027999999999999997,9.746,10.027999999999999,12.09,23.11,567.06,-236.2,-50.6,61.47,-0.1,-2.4,92.73,102.78,137.47,139.98,81.6,-0.027999999999999997
438.66,25.06,416.56,-7.353,-0.037000000000000005,9.747,10.027000000000001,12.14,20.17,569.07,-232.87,-59.78,53.76,-0.09,-2.44,92.72,102.66,137.64,140.04,81.57,-0.027999999999999997
438.67,25.06,416.5,-7.397,-0.039,9.746,10.027999999999999,12.21,13.86,571.25,-232.03,-62.84,42.61,-0.06,-2.46,92.73,102.58,137.53,140.2,81.59,-0.027999999999999997
438.68,25.06,416.5,-7.428999999999999,-0.034,9.746,10.029,12.1,8.15,572.67,-233.76,-59.7,31.55,-0.03,-2.45,92.72,102.55,137.92,140.25,81.62,-0.027999999999999997
438.69,25.07,416.7,-7.462999999999999,-0.031,9.744,10.025,12.1,4.9,573.51,-235.84,-51.81,21.95,-0.02,-2.43,92.74,102.55,138.08,140.42,81.58,-0.027999999999999997
438.7,25.07,417.04,-7.502999999999999,-0.031,9.744,10.017999999999999,12.07,3.78,574.23,-239.94,-38.8,14.52,-0.02,-2.39,92.72,102.55,138.25,140.25,81.57,-0.027000000000000003
438.71,25.07,417.38,-7.542000000000001,-0.039,9.742,10.008,12.03,3.99,573.11,-245.49,-22.91,9.62,-0.02,-2.33,92.73,102.32,138.19,140.31,81.6,-0.027000000000000003
438.72,25.06,417.25,-7.574,-0.036000000000000004,9.75,10.008,12.03,3.99,568.52,-248.0,-11.4,7.77,-0.02,-2.29,92.72,102.84,138.31,140.34,81.6,-0.026000000000000002
438.73,25.06,417.32,-7.6129999999999995,-0.036000000000000004,9.742,10.005,12.02,4.56,562.17,-250.51,-3.95,10.87,-0.02,-2.24,92.71,102.55,138.31,140.47,81.57,-0.026000000000000002
438.74,25.06,416.77,-7.647,-0.03,9.741,10.017999999999999,12.02,5.21,557.18,-251.74,-0.98,18.23,-0.02,-2.21,92.74,102.61,138.36,140.61,81.58,-0.027999999999999997
438.75,25.06,416.43,-7.689,-0.039,9.742,10.021,12.01,6.89,555.14,-252.06,-2.48,28.94,-0.03,-2.2,92.76,102.58,138.47,140.83,81.61,-0.027999999999999997
438.76,25.05,416.15,-7.726,-0.039,9.743,10.026,12.01,10.08,556.94,-251.0,-8.71,40.61,-0.04,-2.22,92.78,102.41,138.56,140.75,81.59,-0.027999999999999997
438.77,25.05,416.15,-7.777,-0.034,9.746,10.023,11.99,16.47,559.33,-248.76,-19.33,51.27,-0.07,-2.25,92.72,102.75,138.72,140.86,81.56,-0.027999999999999997
438.78,25.05,416.29,-7.806,-0.033,9.743,10.017999999999999,12.0,23.81,562.35,-245.35,-31.94,57.9,-0.1,-2.29,92.84,102.64,138.86,141.13,81.59,-0.027000000000000003
438.79,25.04,416.63,-7.851,-0.04,9.743,10.006,12.01,28.61,565.25,-240.76,-45.32,58.19,-0.12,-2.35,92.82,102.61,139.03,141.35,81.6,-0.026000000000000002
438.8,25.04,416.7,-7.898,-0.021,9.738,10.004,12.01,28.36,567.48,-236.56,-56.38,52.83,-0.12,-2.4,92.71,102.38,139.09,141.35,81.56,-0.027000000000000003
438.81,25.04,416.29,-7.93,-0.039,9.742,10.011000000000001,12.02,23.42,569.22,-235.33,-61.24,43.98,-0.1,-2.42,92.77,102.81,139.47,141.78,81.58,-0.027000000000000003
438.82,25.03,416.09,-7.98,-0.027000000000000003,9.742,10.011000000000001,12.01,16.82,569.19,-235.11,-62.19,34.11,-0.07,-2.42,92.83,102.66,139.31,141.89,81.61,-0.027000000000000003
438.83,25.02,415.81,-8.022,-0.036000000000000004,9.741,10.015,12.01,12.13,568.48,-237.77,-56.26,25.68,-0.05,-2.39,92.83,102.66,139.61,142.0,81.58,-0.027000000000000003
438.84,25.02,416.02,-8.06,-0.027999999999999997,9.742,10.009,12.02,10.68,566.21,-240.71,-46.54,19.27,-0.04,-2.35,93.02,102.84,139.75,142.11,81.57,-0.027000000000000003
438.85,25.02,416.36,-8.11,-0.044000000000000004,9.745,9.998,12.01,10.94,563.23,-245.68,-32.52,14.79,-0.04,-2.29,92.91,102.66,140.11,142.08,81.59,-0.025
438.86,25.01,416.56,-8.154,-0.039,9.743,9.988,12.0,12.0,559.41,-248.76,-19.5,12.7,-0.05,-2.25,92.91,102.38,139.7,142.58,81.6,-0.025
438.87,25.01,416.63,-8.195,-0.037000000000000005,9.743,9.984,11.98,13.61,555.13,-252.54,-7.15,14.41,-0.05,-2.2,92.88,102.38,139.92,142.47,81.57,-0.024
438.88,25.0,416.36,-8.227,-0.034,9.741,9.988,11.98,14.59,551.42,-254.51,-0.04,19.08,-0.06,-2.17,92.91,102.98,140.06,142.36,81.57,-0.025
438.89,25.01,416.43,-8.271,-0.03,9.741,9.988999999999999,12.0,16.2,548.61,-255.2,1.58,27.2,-0.06,-2.15,92.89,102.58,139.89,142.33,81.6,-0.025
438.9,25.02,416.22,-8.312999999999999,-0.034,9.743,9.996,11.97,18.8,547.94,-255.62,-2.25,37.61,-0.07,-2.14,92.89,102.64,140.25,142.6,81.6,-0.025
438.91,25.02,416.09,-8.356,-0.046,9.744,9.999,11.97,22.83,549.28,-252.75,-12.59,48.8,-0.09,-2.17,92.92,102.66,140.17,143.12,81.57,-0.025
438.92,25.03,415.95,-8.382,-0.033,9.742,10.004,11.97,27.54,551.01,-249.1,-26.27,58.09,-0.11,-2.21,92.91,102.66,140.39,143.09,81.59,-0.026000000000000002
438.93,25.03,415.95,-8.433,-0.031,9.744,10.005,11.99,30.8,553.56,-243.97,-40.38,63.31,-0.13,-2.27,92.91,102.64,140.59,143.18,81.6,-0.026000000000000002
438.94,25.03,415.81,-8.477,-0.039,9.743,10.007,11.97,29.7,556.31,-239.48,-52.7,61.87,-0.12,-2.32,92.92,102.58,140.81,143.31,81.57,-0.026000000000000002
438.95,25.03,415.54,-8.511000000000001,-0.034,9.742,10.013,12.02,25.02,559.53,-236.66,-60.12,54.98,-0.11,-2.36,92.89,102.46,140.73,143.59,81.57,-0.027000000000000003
438.96,25.04,415.4,-8.557,-0.031,9.743,10.016,12.0,19.79,562.17,-235.49,-62.52,45.79,-0.08,-2.39,92.89,102.55,141.28,143.53,81.6,-0.027000000000000003
438.97,25.03,415.54,-8.6,-0.036000000000000004,9.743,10.008,11.98,16.1,563.78,-236.71,-59.1,36.23,-0.07,-2.38,92.86,102.52,141.23,143.89,81.59,-0.027000000000000003
438.98,25.03,415.67,-8.635,-0.03,9.742,10.004,11.98,13.87,564.15,-239.59,-50.12,26.8,-0.06,-2.35,92.89,102.52,141.4,144.02,81.57,-0.026000000000000002
438.99,25.02,416.02,-8.663,-0.034,9.735,9.993,12.01,11.91,563.33,-242.8,-38.15,18.18,-0.05,-2.32,92.92,102.69,141.51,144.0,81.58,-0.026000000000000002
439.0,25.02,416.15,-8.701,-0.036000000000000004,9.743,9.99,12.01,8.81,559.54,-246.7,-24.51,11.1,-0.04,-2.27,92.91,102.72,141.37,144.0,81.61,-0.025
439.01,25.02,416.15,-8.743,-0.04,9.742,9.987,12.01,7.41,555.12,-250.52,-11.25,9.69,-0.03,-2.22,92.92,102.81,141.73,143.83,81.57,-0.025
439.02,25.01,415.81,-8.783999999999999,-0.036000000000000004,9.745,9.992,12.02,7.19,550.18,-252.72,-2.37,14.0,-0.03,-2.18,92.89,102.75,141.67,144.13,81.57,-0.025
439.03,25.01,415.47,-8.818,-0.037000000000000005,9.738999999999999,9.997,12.03,9.06,546.76,-254.63,1.8,23.74,-0.04,-2.15,92.91,102.72,141.9,144.27,81.6,-0.026000000000000002
439.04,25.01,415.06,-8.854,-0.037000000000000005,9.745,10.008,12.03,12.57,545.32,-254.45,0.01,36.75,-0.05,-2.14,92.91,102.75,141.95,144.46,81.59,-0.026000000000000002
439.05,25.02,414.99,-8.905,-0.033,9.744,10.01,12.03,18.03,546.17,-252.9,-8.11,50.34,-0.07,-2.16,92.89,102.64,142.31,144.54,81.57,-0.027000000000000003
439.06,25.03,414.99,-8.937999999999999,-0.03,9.74,10.014,12.03,24.69,548.4,-250.08,-19.84,61.34,-0.1,-2.19,92.97,102.75,142.12,145.03,81.58,-0.027000000000000003
439.07,25.03,415.33,-8.977,-0.034,9.743,10.005,12.03,30.79,551.12,-245.88,-33.47,66.73,-0.13,-2.24,92.96,102.78,142.45,144.92,81.6,-0.026000000000000002
439.08,25.04,415.81,-9.024,-0.034,9.742,9.997,12.03,34.21,553.85,-240.95,-46.68,65.67,-0.14,-2.3,92.98,102.46,142.68,145.22,81.57,-0.026000000000000002
439.09,25.05,415.88,-9.065,-0.031,9.743,9.998,12.01,33.62,556.44,-237.19,-56.7,58.72,-0.14,-2.35,92.91,103.01,143.01,145.47,81.56,-0.026000000000000002
439.1,25.05,415.95,-9.097000000000001,-0.031,9.741,9.995,12.02,28.94,558.45,-235.23,-61.71,48.2,-0.12,-2.37,92.91,102.89,143.01,145.72,81.59,-0.025
439.11,25.06,415.67,-9.148,-0.031,9.742,10.002,12.03,22.37,559.55,-235.37,-61.42,37.09,-0.1,-2.38,92.88,102.78,143.62,145.88,81.59,-0.026000000000000002
